DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,MAIN_DESTINATION,MAIN_PURPOSE_SAME_DAY_VISIT,MEAN_TRANSPORT_MEANS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_MAIN_DESTINATION,NOTE_MAIN_PURPOSE_SAME_DAY_VISIT,NOTE_MEAN_TRANSPORT_MEANS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM,IT,TOT_ESC,ALL,2023,41958,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM,ITC1,TOT_ESC,ALL,2023,2806,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM,ITC2,TOT_ESC,ALL,2023,205,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM,ITC3,TOT_ESC,ALL,2023,1391,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM,ITC4,TOT_ESC,ALL,2023,5963,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM,ITD1,TOT_ESC,ALL,2023,547,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM,ITD2,TOT_ESC,ALL,2023,922,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM,ITD3,TOT_ESC,ALL,2023,8718,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM,ITD4,TOT_ESC,ALL,2023,1430,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM,ITD5,TOT_ESC,ALL,2023,4103,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM,ITDA,TOT_ESC,ALL,2023,1468,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM,ITE1,TOT_ESC,ALL,2023,3942,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM,ITE2,TOT_ESC,ALL,2023,703,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM,ITE3,TOT_ESC,ALL,2023,796,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM,ITE4,TOT_ESC,ALL,2023,2809,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM,ITF1,TOT_ESC,ALL,2023,305,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM,ITF2,TOT_ESC,ALL,2023,53,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM,ITF3,TOT_ESC,ALL,2023,3423,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM,ITF4,TOT_ESC,ALL,2023,839,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM,ITF5,TOT_ESC,ALL,2023,103,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM,ITF6,TOT_ESC,ALL,2023,774,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM,ITG1,TOT_ESC,ALL,2023,878,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM,ITG2,TOT_ESC,ALL,2023,1245,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM_PERC,IT,TOT_ESC,ALL,2023,100,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM_PERC,ITC1,TOT_ESC,ALL,2023,6.7,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM_PERC,ITC2,TOT_ESC,ALL,2023,0.5,,,,,,,,,,,
