DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,MAIN_DESTINATION,MAIN_PURPOSE_SAME_DAY_VISIT,MEAN_TRANSPORT_MEANS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_MAIN_DESTINATION,NOTE_MAIN_PURPOSE_SAME_DAY_VISIT,NOTE_MEAN_TRANSPORT_MEANS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC,IT,CULT,ALL,2023,2710,,,,,,MOTIVO_VIAGGIO__CULT_N1,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC,IT,OT_DAYVIS,ALL,2023,3219,,,,,,MOTIVO_VIAGGIO__OT_DAYVIS_N1,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC,IT,PLEAS_TRN,ALL,2023,26819,,,,,,MOTIVO_VIAGGIO__PLEAS_TRN_N1,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC,IT,RELATIV,ALL,2023,6545,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC,IT,RELIG,ALL,2023,710,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC,IT,SHOP,ALL,2023,1267,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC,IT,TOT_BUS,ALL,2023,688,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC,IT,TOT_ESC,ALL,2023,41958,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC,TOTAL,CULT,ALL,2023,2720,,,,,,MOTIVO_VIAGGIO__CULT_N1,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC,TOTAL,OT_DAYVIS,ALL,2023,3245,,,,,,MOTIVO_VIAGGIO__OT_DAYVIS_N1,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC,TOTAL,PLEAS_TRN,ALL,2023,27151,,,,,,MOTIVO_VIAGGIO__PLEAS_TRN_N1,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC,TOTAL,RELATIV,ALL,2023,6560,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC,TOTAL,RELIG,ALL,2023,710,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC,TOTAL,SHOP,ALL,2023,1335,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC,TOTAL,TOT_BUS,ALL,2023,701,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC,TOTAL,TOT_ESC,ALL,2023,42422,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC,WRL_X_ITA,CULT,ALL,2023,,0,,,,,MOTIVO_VIAGGIO__CULT_N1,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC,WRL_X_ITA,OT_DAYVIS,ALL,2023,26,,,,,,MOTIVO_VIAGGIO__OT_DAYVIS_N1,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC,WRL_X_ITA,PLEAS_TRN,ALL,2023,333,,,,,,MOTIVO_VIAGGIO__PLEAS_TRN_N1,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC,WRL_X_ITA,RELATIV,ALL,2023,14,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC,WRL_X_ITA,RELIG,ALL,2023,0,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC,WRL_X_ITA,SHOP,ALL,2023,68,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC,WRL_X_ITA,TOT_BUS,ALL,2023,13,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC,WRL_X_ITA,TOT_ESC,ALL,2023,464,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC_PERC2,IT,CULT,ALL,2023,6.5,,,,,,MOTIVO_VIAGGIO__CULT_N1,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC_PERC2,IT,OT_DAYVIS,ALL,2023,7.7,,,,,,MOTIVO_VIAGGIO__OT_DAYVIS_N1,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC_PERC2,IT,PLEAS_TRN,ALL,2023,63.9,,,,,,MOTIVO_VIAGGIO__PLEAS_TRN_N1,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC_PERC2,IT,RELATIV,ALL,2023,15.6,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC_PERC2,IT,RELIG,ALL,2023,1.7,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC_PERC2,IT,SHOP,ALL,2023,3,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC_PERC2,IT,TOT_BUS,ALL,2023,1.6,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC_PERC2,IT,TOT_ESC,ALL,2023,100,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC_PERC2,TOTAL,CULT,ALL,2023,6.4,,,,,,MOTIVO_VIAGGIO__CULT_N1,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC_PERC2,TOTAL,OT_DAYVIS,ALL,2023,7.6,,,,,,MOTIVO_VIAGGIO__OT_DAYVIS_N1,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC_PERC2,TOTAL,PLEAS_TRN,ALL,2023,64,,,,,,MOTIVO_VIAGGIO__PLEAS_TRN_N1,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC_PERC2,TOTAL,RELATIV,ALL,2023,15.5,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC_PERC2,TOTAL,RELIG,ALL,2023,1.7,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC_PERC2,TOTAL,SHOP,ALL,2023,3.1,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC_PERC2,TOTAL,TOT_BUS,ALL,2023,1.7,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC_PERC2,TOTAL,TOT_ESC,ALL,2023,100,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC_PERC2,WRL_X_ITA,CULT,ALL,2023,,0,,,,,MOTIVO_VIAGGIO__CULT_N1,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC_PERC2,WRL_X_ITA,OT_DAYVIS,ALL,2023,5.6,,,,,,MOTIVO_VIAGGIO__OT_DAYVIS_N1,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC_PERC2,WRL_X_ITA,PLEAS_TRN,ALL,2023,71.8,,,,,,MOTIVO_VIAGGIO__PLEAS_TRN_N1,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC_PERC2,WRL_X_ITA,RELATIV,ALL,2023,3,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC_PERC2,WRL_X_ITA,RELIG,ALL,2023,0,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC_PERC2,WRL_X_ITA,SHOP,ALL,2023,14.7,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC_PERC2,WRL_X_ITA,TOT_BUS,ALL,2023,2.8,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_2(1.0),A,IT,ESC_PERC2,WRL_X_ITA,TOT_ESC,ALL,2023,100,,,,,,,,,,,
